Country,Region,Sub-region
Ukraine,Europe,Central and Eastern Europe
United Arab Emirates,Middle East and North Africa,Middle East
United Kingdom,Europe,Western Europe
United Republic of Tanzania,Sub-Saharan Africa,East Africa
United States of America,Americas,North America
Uruguay,Americas,South America
Uzbekistan,Asia,Central Asia
Vanuatu,Pacific,Pacific Islands
Venezuela (Bolivarian Republic of),Americas,South America
Viet Nam,Asia,South East Asia
Yemen,Middle East and North Africa,Middle East
Zambia,Sub-Saharan Africa,Southern Africa
Zimbabwe,Sub-Saharan Africa,Southern Africa
